env_id,human,random
Alien-v5,7127.7,227.8
Amidar-v5,1719.5,5.8
Assault-v5,742,222.4
Asterix-v5,8503.3,210
Asteroids-v5,47388.7,719.1
Atlantis-v5,29028.1,12850
BankHeist-v5,753.1,14.2
BattleZone-v5,37187.5,2360
BeamRider-v5,16926.5,363.9
Berzerk-v5,2630.4,123.7
Bowling-v5,160.7,23.1
Boxing-v5,12.1,0.1
Breakout-v5,30.5,1.7
Centipede-v5,12017,2090.9
ChopperCommand-v5,7387.8,811
CrazyClimber-v5,35829.4,10780.5
Defender-v5,18688.9,2874.5
DemonAttack-v5,1971,152.1
DoubleDunk-v5,-16.4,-18.6
Enduro-v5,860.5,0
FishingDerby-v5,-38.7,-91.7
Freeway-v5,29.6,0
Frostbite-v5,4334.7,65.2
Gopher-v5,2412.5,257.6
Gravitar-v5,3351.4,173
Hero-v5,30826.4,1027
IceHockey-v5,0.9,-11.2
Jamesbond-v5,302.8,29
Kangaroo-v5,3035,52
Krull-v5,2665.5,1598
KungFuMaster-v5,22736.3,258.5
MontezumaRevenge-v5,4753.3,0
MsPacman-v5,6951.6,307.3
NameThisGame-v5,8049,2292.3
Phoenix-v5,7242.6,761.4
Pitfall-v5,6463.7,-229.4
Pong-v5,14.6,-20.7
PrivateEye-v5,69571.3,24.9
Qbert-v5,13455,163.9
Riverraid-v5,17118,1338.5
RoadRunner-v5,7845,11.5
Robotank-v5,11.9,2.2
Seaquest-v5,42054.7,68.4
Skiing-v5,-4336.9,-17098.1
Solaris-v5,12326.7,1236.3
SpaceInvaders-v5,1668.7,148
StarGunner-v5,10250,664
Surround-v5,6.5,-10
Tennis-v5,-8.3,-23.8
TimePilot-v5,5229.2,3568
Tutankham-v5,167.6,11.4
UpNDown-v5,11693.2,533.4
Venture-v5,1187.5,0
VideoPinball-v5,17667.9,0
WizardOfWor-v5,4756.5,563.5
YarsRevenge-v5,54576.9,3092.9
Zaxxon-v5,9173.3,32.5
